,instant,date,season,year,month,holiday,weekday,workingday,weathersit,temperature,feels_like_temperature,humidity,windspeed,casual,registered,count
0,1,2011-01-01,Spring,2011,January,No,Saturday,No,Cloudy or Misty,8.175849,7.99925,80.58330000000001,10.749882,331,654,985
1,2,2011-01-02,Spring,2011,January,No,Sunday,No,Cloudy or Misty,9.083466000000001,7.3467740000000035,69.6087,16.652113,131,670,801
2,3,2011-01-03,Spring,2011,January,No,Monday,Yes,Clear,1.229108,-3.499270000000001,43.7273,16.636703,120,1229,1349
3,4,2011-01-04,Spring,2011,January,No,Tuesday,Yes,Clear,1.4000000000000004,-1.9999479999999998,59.0435,10.739832,108,1454,1562
4,5,2011-01-05,Spring,2011,January,No,Wednesday,Yes,Clear,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001,82,1518,1600
5,6,2011-01-06,Spring,2011,January,No,Thursday,Yes,Clear,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684,88,1518,1606
6,7,2011-01-07,Spring,2011,January,No,Friday,Yes,Cloudy or Misty,1.2365340000000007,-2.2166259999999998,49.8696,11.304642,148,1362,1510
7,8,2011-01-08,Spring,2011,January,No,Saturday,No,Cloudy or Misty,-0.24499999999999922,-5.291236,53.5833,17.875868,68,891,959
8,9,2011-01-09,Spring,2011,January,No,Sunday,No,Clear,-1.4983489999999993,-8.33245,43.416700000000006,24.25065,54,768,822
9,10,2011-01-10,Spring,2011,January,No,Monday,Yes,Clear,-0.9108490000000007,-6.041392,48.2917,14.958889,41,1280,1321
10,11,2011-01-11,Spring,2011,January,No,Tuesday,Yes,Cloudy or Misty,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001,43,1220,1263
11,12,2011-01-12,Spring,2011,January,No,Wednesday,Yes,Clear,0.11816899999999997,-5.408782,59.954499999999996,20.410009,25,1137,1162
12,13,2011-01-13,Spring,2011,January,No,Thursday,Yes,Clear,-0.24499999999999922,-6.041722,47.0417,20.166999999999998,38,1368,1406
13,14,2011-01-14,Spring,2011,January,No,Friday,Yes,Clear,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716,54,1367,1421
